method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_dsls_epoch,selected_csda_epoch,selected_icdm_epoch,threshold_hc,dsls_singular1,dsls_singular2,dsls_singular3,dsls_shared_energy_fraction,dsls_asd_score_mean,dsls_asd_score_std,dsls_hc_score_mean,dsls_hc_score_std,dsls_std_floor,dsls_parameter_l2,dsls_mean_abs_delta,csda_num_sites,csda_cross_site_positive_pairs,csda_cross_site_same_y_cos,csda_same_site_same_y_cos,csda_opposite_y_cos,csda_site_retrieval_accuracy,csda_profile_std_floor,csda_projection_l2,csda_head_l2,csda_mean_abs_delta,icdm_mean_abs_roi_prompt,icdm_mean_abs_edge_log_gate,icdm_mean_edge_factor,icdm_std_edge_factor,icdm_factor_min,icdm_factor_max,icdm_fraction_gt1,icdm_mean_abs_fc_change,icdm_down_l2,icdm_up_l2,task_seconds,n_test,status
icdm,abide2,3,external,0.738951167076167,0.5992417499413907,0.7404063205417607,0.6670109029484029,8.0,61.0,nan,nan,20.0,0.5571013689041138,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02006904035806656,0.019811607897281647,1.020167589187622,0.0211082324385643,0.9089539051055908,1.1049484014511108,0.9844421744346619,0.0035686353221535683,5.884162902832031,1.5729304552078247,195.07025289535522,727,PASS
baseline,internal_fold,4,0,0.6889564336372846,0.6407324624652482,0.5853658536585366,0.6243667679837892,41.0,48.0,nan,nan,nan,0.3530566692352295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,437.6880536079407,89,PASS
dsls,internal_fold,4,0,0.6889564336372846,0.6407324556348415,0.5853658536585366,0.6243667679837892,41.0,48.0,0.0,nan,nan,0.3530566990375519,829.0810546875,725.562255859375,625.2978515625,0.05417490005493164,0.3123456537723541,1.289803147315979,6.162280214994098e-07,0.9999828934669495,0.01891155689954758,2.0928633213043213,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,437.6880536079407,89,PASS
csda,internal_fold,4,0,0.6788247213779128,0.6484823855599404,0.5853658536585366,0.6243667679837892,41.0,48.0,nan,49.0,nan,0.35931360721588135,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,206852.0,0.024881934747099876,0.04032750055193901,-0.01624528504908085,0.231453999876976,0.0012766719795763493,7.921286106109619,0.28613945841789246,0.059345345944166183,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,437.6880536079407,89,PASS
icdm,internal_fold,4,0,0.6889564336372846,0.6407324556348415,0.5853658536585366,0.6243667679837892,41.0,48.0,nan,nan,0.0,0.3530566990375519,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.513881206512451,0.0,437.6880536079407,89,PASS
baseline,internal_fold,4,1,0.7112462006079028,0.6191331001118637,0.575,0.6256332320162107,37.0,48.0,nan,nan,nan,0.3445179760456085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,295.9145770072937,89,PASS
dsls,internal_fold,4,1,0.7112462006079028,0.6191330986667772,0.575,0.6256332320162107,37.0,48.0,0.0,nan,nan,0.3445180058479309,781.3843383789062,688.37109375,586.334228515625,0.048593953251838684,0.28374776244163513,1.3278580904006958,4.1616701196289796e-07,0.9999836087226868,0.018311871588230135,2.0983593463897705,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,295.9145770072937,89,PASS
csda,internal_fold,4,1,0.7122593718338399,0.6184541177394055,0.575,0.6256332320162107,37.0,48.0,nan,15.0,nan,0.34616026282310486,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,206608.0,0.007682138588279486,0.03188520297408104,0.002187939127907157,0.20178040862083435,0.0012931717559695245,7.78596830368042,0.0783749520778656,0.012632522732019424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,295.9145770072937,89,PASS
icdm,internal_fold,4,1,0.7112462006079028,0.6191330986667772,0.575,0.6256332320162107,37.0,48.0,nan,nan,0.0,0.3445180058479309,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.504956245422363,0.0,295.9145770072937,89,PASS
baseline,internal_fold,4,2,0.7261904761904763,0.6006903890679252,0.7000000000000001,0.6542443064182195,46.0,47.0,nan,nan,nan,0.4929578900337219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,527.7570977210999,88,PASS
