method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_crsm_epoch,threshold_hc,n_experts,temperature,hc_centroid_norm,pca_unit_norm,pca_singular_value,sigma_margin,sigma_projection,symmetry_ratio,symmetry_scale,initial_delta_l2,expert_1_mean_mass,expert_2_mean_mass,expert_1_hard_fraction,expert_2_hard_fraction,responsibility_entropy,delta_weight_1_l2,delta_weight_2_l2,delta_weight_cosine,delta_bias_1,delta_bias_2,task_seconds,n_test,status
control_referenced_soft_multiboundary,internal_fold,7,7,0.7296315516346652,0.5911937015044681,0.5882352941176471,0.6074208614426571,46.0,52.0,0.0,0.4043618142604828,2.0,1.0,23.059741973876953,1.0,139.86904907226562,1.9217926263809204,6.40955924987793,0.01,0.002998322481289506,0.004240268375724554,0.5029395818710327,0.4970603883266449,0.640949547290802,0.359050452709198,0.6929708123207092,0.0029983227141201496,0.0029983227141201496,-1.0,0.0,0.0,452.9934642314911,88,PASS
baseline,internal_fold,7,8,0.7140633108458744,0.6221132703056679,0.6097560975609756,0.6440062272963155,26.0,45.0,nan,0.41852542757987976,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,208.45558142662048,88,PASS
control_referenced_soft_multiboundary,internal_fold,7,8,0.7140633108458744,0.6221103438449418,0.6097560975609756,0.6440062272963155,26.0,45.0,0.0,0.41847702860832214,2.0,1.0,23.407014846801758,1.0,134.62380981445312,1.733888030052185,5.803589820861816,0.01,0.0029876127373427153,0.0042251222766935825,0.5032689571380615,0.4967310428619385,0.6498516201972961,0.35014837980270386,0.6929795145988464,0.0029876127373427153,0.0029876127373427153,-1.0,0.0,0.0,208.45557403564453,88,PASS
baseline,internal_fold,7,9,0.719252724442138,0.6124711665662671,0.7090909090909091,0.6222106901920083,30.0,49.0,nan,0.5299040079116821,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,195.07983589172363,88,PASS
control_referenced_soft_multiboundary,internal_fold,7,9,0.719252724442138,0.612471993882179,0.7090909090909091,0.6222106901920083,30.0,49.0,0.0,0.5299001932144165,2.0,1.0,24.807531356811523,1.0,142.25897216796875,1.6920514106750488,6.867847919464111,0.01,0.002463728655129671,0.00348423863761127,0.5020118951797485,0.49798810482025146,0.5192878246307373,0.4807121753692627,0.6930238008499146,0.002463728655129671,0.002463728655129671,-1.0,0.0,0.0,195.07983255386353,88,PASS
baseline,internal_oof,7,all,0.7343205799643973,0.6043085367083393,0.6577480490523968,0.6531952220014963,35.5,44.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,292.47368953228,882,PASS
control_referenced_soft_multiboundary,internal_oof,7,all,0.7340213100797193,0.6044601701993703,0.65625,0.6521245581899331,35.5,44.4,0.1,nan,2.0,1.0,23.95060501098633,1.0,146.26919708251953,1.6598909974098206,7.071472120285034,0.009999999999999998,0.0023743389756418765,0.003357822517864406,0.5018370300531387,0.49816296696662904,0.5458456903696061,0.4541543036699295,0.6930163919925689,0.0034921476850286125,0.003430005838163197,-0.8128571331501007,-4.99987363582477e-06,-4.999889642931521e-06,292.47368533611296,882,PASS
baseline,caltech,7,external,0.631578947368421,0.7206470789191856,0.6190476190476191,0.564327485380117,30.0,81.0,nan,0.5422477722167969,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,223.73577857017517,37,PASS
baseline,abide2,7,external,0.7399800368550369,0.6028926888558873,0.7369614512471655,0.6648878992628993,30.0,81.0,nan,0.5422477722167969,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,223.73577857017517,727,PASS
control_referenced_soft_multiboundary,caltech,7,external,0.631578947368421,0.7205743024364717,0.6190476190476191,0.564327485380117,30.0,81.0,0.0,0.5422477126121521,2.0,1.0,22.824796676635742,1.0,158.26007080078125,2.2991607189178467,7.500540256500244,0.01,0.00306532671675086,0.0043350267224013805,0.5014879107475281,0.49851205945014954,0.43253466486930847,0.5674653053283691,0.6929306387901306,0.003065326949581504,0.003065326949581504,-0.9999999403953552,0.0,0.0,223.73577332496643,37,PASS
control_referenced_soft_multiboundary,abide2,7,external,0.7399416461916462,0.6028940009505631,0.7369614512471655,0.6648878992628993,30.0,81.0,0.0,0.5422477126121521,2.0,1.0,22.824796676635742,1.0,158.26007080078125,2.2991607189178467,7.500540256500244,0.01,0.00306532671675086,0.0043350267224013805,0.5014879107475281,0.49851205945014954,0.43253466486930847,0.5674653053283691,0.6929306387901306,0.003065326949581504,0.003065326949581504,-0.9999999403953552,0.0,0.0,223.73577332496643,727,PASS
baseline,internal_fold,8,0,0.790273556231003,0.5920692075102527,0.7422680412371133,0.7163120567375887,46.0,23.0,nan,0.4742968678474426,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,212.2038118839264,89,PASS
