method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_residual_epoch,threshold_hc,n_modules,meta_dim,module_size_min,module_size_mean,module_size_max,singleton_modules,empty_meta_bins,affinity_mean,affinity_std,affinity_max,residual_head_l2,task_seconds,n_test,status
consensus_highorder_residual,internal_fold,4,3,0.7375776397515528,0.6172102060481991,0.6024096385542168,0.6288819875776397,45.0,28.0,0.0,0.3505183458328247,32.0,528.0,3.0,12.0,22.0,0.0,0.0,0.18547426847348095,0.041658772601027974,0.815897524356842,0.0,362.5065987110138,88,PASS
baseline,internal_fold,4,4,0.7489648033126294,0.6052692205629039,0.43750000000000006,0.6045548654244306,43.0,29.0,nan,0.3062369227409363,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,355.6820111274719,88,PASS
consensus_highorder_residual,internal_fold,4,4,0.7489648033126294,0.6052692201686117,0.43750000000000006,0.6045548654244306,43.0,29.0,0.0,0.3062369227409363,32.0,528.0,6.0,12.0,24.0,0.0,0.0,0.1725329225274975,0.040038933403660715,0.7914196848869324,0.0,355.6820104122162,88,PASS
baseline,internal_fold,4,5,0.6564608199273482,0.655059626052351,0.608695652173913,0.5905552672548002,44.0,38.0,nan,0.4825148582458496,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,321.46419048309326,88,PASS
consensus_highorder_residual,internal_fold,4,5,0.6564608199273482,0.6550596291518009,0.608695652173913,0.5905552672548002,44.0,38.0,0.0,0.482514888048172,32.0,528.0,5.0,12.0,21.0,0.0,0.0,0.16882833531760635,0.041185677681310914,0.855605959892273,0.0,321.4641900062561,88,PASS
baseline,internal_fold,4,6,0.7669953295277634,0.5768133168926121,0.7070707070707072,0.6650233523611832,47.0,23.0,nan,0.48472607135772705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,331.916640996933,88,PASS
consensus_highorder_residual,internal_fold,4,6,0.7669953295277634,0.5768133213536903,0.7070707070707072,0.6650233523611832,47.0,23.0,0.0,0.48472607135772705,32.0,528.0,3.0,12.0,25.0,0.0,0.0,0.16881442006536151,0.042536198038071515,0.93841952085495,0.0,331.91664004325867,88,PASS
baseline,internal_fold,4,7,0.7394914374675661,0.603962344178019,0.6666666666666666,0.6331084587441619,50.0,16.0,nan,0.5016955137252808,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,279.03588128089905,88,PASS
consensus_highorder_residual,internal_fold,4,7,0.7394914374675661,0.6039623462913078,0.6666666666666666,0.6331084587441619,50.0,16.0,0.0,0.5016955137252808,32.0,528.0,5.0,12.0,26.0,0.0,0.0,0.16811571128624253,0.04146279992590814,0.7883874773979187,0.0,279.03588008880615,88,PASS
baseline,internal_fold,4,8,0.7254800207576544,0.6171119775000029,0.7272727272727273,0.6450441100155683,16.0,15.0,nan,0.5336345434188843,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,245.2799961566925,88,PASS
consensus_highorder_residual,internal_fold,4,8,0.7265179034769071,0.6102618389705815,0.6868686868686869,0.6421899325376232,16.0,15.0,149.0,0.47355473041534424,32.0,528.0,5.0,12.0,23.0,0.0,0.0,0.16707137055870136,0.04659673198121866,0.8633527755737305,0.15568378567695618,245.2799949645996,88,PASS
baseline,internal_fold,4,9,0.7166580176440063,0.6057315048916951,0.6909090909090909,0.5993772703684483,33.0,46.0,nan,0.560836911201477,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,245.44420051574707,88,PASS
consensus_highorder_residual,internal_fold,4,9,0.7182148417228853,0.6056553459284282,0.6909090909090909,0.5993772703684483,33.0,46.0,8.0,0.5627924203872681,32.0,528.0,4.0,12.0,22.0,0.0,0.0,0.17409011569095806,0.04340759077488635,0.9672406911849976,0.00913543812930584,245.44419884681702,88,PASS
baseline,internal_oof,4,all,0.721869920796677,0.6143485458561556,0.6419213973799127,0.6280281726477646,40.2,33.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,882,PASS
consensus_highorder_residual,internal_oof,4,all,0.7228244885322878,0.6145048234394551,0.6386740331491713,0.6299037692525993,40.2,33.9,35.1,nan,32.0,528.0,4.4,12.0,23.8,0.0,0.0,0.17038810081176908,0.04232930004458148,0.8394223392009735,0.03714134749025107,nan,882,PASS
baseline,caltech,4,external,0.6725146198830408,0.6412648333827009,0.5517241379310345,0.6549707602339181,17.0,34.0,nan,0.3315856456756592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,266.2835474014282,37,PASS
baseline,abide2,4,external,0.7479960073710075,0.5943109595497978,0.5059021922428331,0.6280251842751843,17.0,34.0,nan,0.3315856456756592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,266.2835474014282,727,PASS
consensus_highorder_residual,caltech,4,external,0.6725146198830408,0.6412648335866834,0.5517241379310345,0.6549707602339181,17.0,34.0,0.0,0.3315856456756592,32.0,528.0,7.0,12.0,21.0,0.0,0.0,0.16659943791062978,0.04450169096854429,0.7947750091552734,0.0,266.2835464477539,37,PASS
consensus_highorder_residual,abide2,4,external,0.7479960073710075,0.5943109599368457,0.5059021922428331,0.6280251842751843,17.0,34.0,0.0,0.3315856456756592,32.0,528.0,7.0,12.0,21.0,0.0,0.0,0.16659943791062978,0.04450169096854429,0.7947750091552734,0.0,266.2835464477539,727,PASS
baseline,internal_fold,5,0,0.7771023302938197,0.5745046734262359,0.6741573033707866,0.6762917933130699,44.0,31.0,nan,0.48047199845314026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,469.6154899597168,89,PASS
consensus_highorder_residual,internal_fold,5,0,0.7578520770010132,0.5805107762938909,0.7522935779816514,0.6861702127659575,44.0,31.0,149.0,0.5751093029975891,32.0,528.0,7.0,12.0,21.0,0.0,0.0,0.1703865563737478,0.04053335717314567,0.8024940490722656,0.15576297044754028,469.6154885292053,89,PASS
baseline,internal_fold,5,1,0.7310030395136777,0.616446803184496,0.6206896551724138,0.6324721377912867,34.0,39.0,nan,0.3941330909729004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,287.3233082294464,89,PASS
consensus_highorder_residual,internal_fold,5,1,0.7310030395136777,0.6164468037704651,0.6206896551724138,0.6324721377912867,34.0,39.0,0.0,0.3941331207752228,32.0,528.0,5.0,12.0,23.0,0.0,0.0,0.16233682088587137,0.04412079210911707,0.7916839122772217,0.0,287.32330656051636,89,PASS
baseline,internal_fold,5,2,0.8131469979296067,0.5228387709804306,0.6913580246913581,0.7210144927536233,44.0,42.0,nan,0.40519896149635315,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,285.2489581108093,88,PASS
consensus_highorder_residual,internal_fold,5,2,0.8131469979296067,0.5228387686436637,0.6913580246913581,0.7210144927536233,44.0,42.0,0.0,0.40519899129867554,32.0,528.0,5.0,12.0,25.0,0.0,0.0,0.16085464467644672,0.04681901870442401,0.8087489604949951,0.0,285.2489573955536,88,PASS
baseline,internal_fold,5,3,0.7132505175983436,0.6176955166688952,0.7706422018348623,0.7065217391304348,45.0,48.0,nan,0.5887754559516907,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,372.6094431877136,88,PASS
consensus_highorder_residual,internal_fold,5,3,0.7132505175983436,0.6176955166651538,0.7706422018348623,0.7065217391304348,45.0,48.0,0.0,0.5887754559516907,32.0,528.0,4.0,12.0,25.0,0.0,0.0,0.16805975663942163,0.04203650815384654,0.8721086978912354,0.0,372.6094424724579,88,PASS
baseline,internal_fold,5,4,0.6972049689440994,0.6262801403758833,0.6206896551724138,0.6268115942028986,16.0,42.0,nan,0.3626909554004669,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,324.245512008667,88,PASS
consensus_highorder_residual,internal_fold,5,4,0.6972049689440994,0.6262801379252384,0.6206896551724138,0.6268115942028986,16.0,42.0,0.0,0.3626909554004669,32.0,528.0,5.0,12.0,23.0,0.0,0.0,0.18021733805418072,0.04379145437941411,0.820935070514679,0.0,324.24551129341125,88,PASS
baseline,internal_fold,5,5,0.6652828230409964,0.6594251920017616,0.6190476190476191,0.6424494032174364,1.0,12.0,nan,0.4493180513381958,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,290.36596179008484,88,PASS
consensus_highorder_residual,internal_fold,5,5,0.6652828230409964,0.6594251948782417,0.6190476190476191,0.6424494032174364,1.0,12.0,0.0,0.4493180513381958,32.0,528.0,6.0,12.0,19.0,0.0,0.0,0.20761569951003575,0.06262520964625812,0.8278946280479431,0.0,290.3659601211548,88,PASS
baseline,internal_fold,5,6,0.68188894654904,0.6322906972080207,0.5352112676056338,0.6411520498183705,15.0,37.0,nan,0.30588048696517944,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,295.65346217155457,88,PASS
consensus_highorder_residual,internal_fold,5,6,0.68188894654904,0.632290692014369,0.5352112676056338,0.6411520498183705,15.0,37.0,0.0,0.30588051676750183,32.0,528.0,7.0,12.0,23.0,0.0,0.0,0.16658163273002258,0.045526814179133665,0.7900784611701965,0.0,295.65346097946167,88,PASS
baseline,internal_fold,5,7,0.69330565646082,0.6286378922579041,0.6804123711340208,0.6437467566165023,19.0,24.0,nan,0.47717544436454773,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,270.9518508911133,88,PASS
consensus_highorder_residual,internal_fold,5,7,0.69330565646082,0.6286378929175093,0.6804123711340208,0.6437467566165023,19.0,24.0,0.0,0.4771754741668701,32.0,528.0,4.0,12.0,24.0,0.0,0.0,0.1788818946851294,0.0448629478502844,0.8983721137046814,0.0,270.9518494606018,88,PASS
baseline,internal_fold,5,8,0.5376232485729113,0.7197259256076092,0.5434782608695652,0.5220550077841204,10.0,12.0,nan,0.47465234994888306,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,210.94562697410583,88,PASS
consensus_highorder_residual,internal_fold,5,8,0.5371043072132848,0.7204138672455875,0.5454545454545454,0.5480020757654385,10.0,12.0,6.0,0.4680512547492981,32.0,528.0,7.0,12.0,19.0,0.0,0.0,0.18340293674817304,0.05054672438095249,0.8085982799530029,0.006888448726385832,210.94562649726868,88,PASS
baseline,internal_fold,5,9,0.7415672029060717,0.6016481344318104,0.6875000000000001,0.6559418785677218,29.0,41.0,nan,0.4225327670574188,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,195.5274338722229,88,PASS
consensus_highorder_residual,internal_fold,5,9,0.7415672029060717,0.6016481376563104,0.6875000000000001,0.6559418785677218,29.0,41.0,0.0,0.4225327670574188,32.0,528.0,4.0,12.0,22.0,0.0,0.0,0.17191381178854245,0.0412585011829946,0.8673725724220276,0.0,195.52743268013,88,PASS
baseline,internal_oof,5,all,0.7056732282448852,0.6198938788403616,0.6494960806270996,0.646637083666572,25.7,32.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,882,PASS
consensus_highorder_residual,internal_oof,5,all,0.7048063775444391,0.6205685747448778,0.6600660066006601,0.6501148061195532,25.7,32.8,15.5,nan,32.0,528.0,5.4,12.0,22.4,0.0,0.0,0.17502510920915715,0.04621213277595707,0.8288286745548248,0.01626514191739261,nan,882,PASS
baseline,caltech,5,external,0.6198830409356726,0.6976827153059115,0.6500000000000001,0.6198830409356726,21.0,75.0,nan,0.5258487462997437,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,265.55759859085083,37,PASS
baseline,abide2,5,external,0.7529176904176905,0.5884299358450381,0.7298245614035088,0.6707923832923832,21.0,75.0,nan,0.5258487462997437,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,265.55759859085083,727,PASS
consensus_highorder_residual,caltech,5,external,0.6198830409356726,0.6976827119681774,0.6500000000000001,0.6198830409356726,21.0,75.0,0.0,0.5258487462997437,32.0,528.0,7.0,12.0,22.0,0.0,0.0,0.1669062359666442,0.04285711406336481,0.8074300289154053,0.0,265.5575981140137,37,PASS
consensus_highorder_residual,abide2,5,external,0.7529176904176905,0.5884299361360175,0.7298245614035088,0.6707923832923832,21.0,75.0,0.0,0.5258487462997437,32.0,528.0,7.0,12.0,22.0,0.0,0.0,0.1669062359666442,0.04285711406336481,0.8074300289154053,0.0,265.5575981140137,727,PASS
baseline,internal_fold,6,0,0.6955420466058765,0.6123975781654959,0.48484848484848486,0.6344984802431611,46.0,31.0,nan,0.34142962098121643,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,339.02789998054504,89,PASS
consensus_highorder_residual,internal_fold,6,0,0.6955420466058765,0.6123975790044871,0.48484848484848486,0.6344984802431611,46.0,31.0,0.0,0.34142962098121643,32.0,528.0,5.0,12.0,27.0,0.0,0.0,0.16729385725085139,0.04127581331312171,0.7963858246803284,0.0,339.02789878845215,89,PASS
baseline,internal_fold,6,1,0.7127659574468086,0.6572799034104068,0.6739130434782609,0.6631205673758864,10.0,80.0,nan,0.4562610685825348,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,374.37935066223145,89,PASS
consensus_highorder_residual,internal_fold,6,1,0.7107396149949341,0.6705794356051528,0.6593406593406593,0.6524822695035462,10.0,80.0,149.0,0.4409555494785309,32.0,528.0,5.0,12.0,26.0,0.0,0.0,0.17426614431707713,0.0493939476594115,0.8058059811592102,0.15031176805496216,374.37934923171997,89,PASS
baseline,internal_fold,6,2,0.7256728778467909,0.5930827115319286,0.5822784810126582,0.6309523809523809,32.0,42.0,nan,0.3664572834968567,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,367.21717166900635,88,PASS
consensus_highorder_residual,internal_fold,6,2,0.7287784679089027,0.5889099271688545,0.6024096385542168,0.6288819875776397,32.0,42.0,75.0,0.3691272735595703,32.0,528.0,3.0,12.0,21.0,0.0,0.0,0.1612413226781274,0.04800111290669758,0.9636462330818176,0.0803418755531311,367.2171711921692,88,PASS
baseline,internal_fold,6,3,0.6873706004140786,0.6295652736846388,0.6265060240963856,0.6516563146997929,36.0,17.0,nan,0.44060054421424866,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,351.87156987190247,88,PASS
consensus_highorder_residual,internal_fold,6,3,0.6873706004140786,0.6295652757640567,0.6265060240963856,0.6516563146997929,36.0,17.0,0.0,0.44060054421424866,32.0,528.0,6.0,12.0,24.0,0.0,0.0,0.16848774307706937,0.04194071891291653,0.7916617393493652,0.0,351.87156915664673,88,PASS
baseline,internal_fold,6,4,0.7981366459627329,0.5692807864172086,0.6829268292682927,0.7091097308488613,6.0,14.0,nan,0.4432242810726166,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,601.3756513595581,88,PASS
consensus_highorder_residual,internal_fold,6,4,0.791407867494824,0.5673014807695229,0.641025641025641,0.6884057971014492,6.0,14.0,60.0,0.41512206196784973,32.0,528.0,5.0,12.0,20.0,0.0,0.0,0.20305973919360998,0.05999584952669121,0.8315387964248657,0.06530103087425232,601.375650882721,88,PASS
