representation,scope,repeat,fold,n_subjects,disease_axis_auc,disease_geometry_gap,fingerprint_n,fingerprint_top1,fingerprint_top5,fingerprint_mrr,fingerprint_same_similarity,fingerprint_different_similarity,fingerprint_identity_gap,within_site_top1,within_site_same_dx_top1,topedge_sign_agreement,topedge_spearman,topedge_cosine,roi_signed_spearman,roi_absburden_spearman,selected_encoder_epoch,task_seconds,status
varconet_selected,internal_fold,1,8,88,0.6927867151011936,0.0024106849957084286,88,1.0,1.0,1.0,0.33991220728917554,0.0948039314229345,0.24510827586624104,1.0,1.0,nan,nan,nan,nan,nan,39.0,192.36945819854736,PASS
varconet_epoch50,internal_fold,1,8,88,0.6943435391800726,0.0023869246500380914,88,1.0,1.0,1.0,0.3403508124703711,0.09456816807770255,0.24578264439266853,1.0,1.0,nan,nan,nan,nan,nan,50.0,192.36945819854736,PASS
pearson_windowavg,internal_fold,1,9,88,0.5661650233523612,0.00688726809660406,88,0.875,0.9375,0.9037411932493584,0.4588034823113544,0.16427789801606593,0.2945255842952885,0.8823529411764706,0.8484848484848485,nan,nan,nan,nan,nan,nan,192.12229466438293,PASS
pearson_full,internal_fold,1,9,88,0.5661650233523612,0.00688726809660406,88,0.875,0.9375,0.9037411932493584,0.4588034823113544,0.16427789801606593,0.2945255842952885,0.8823529411764706,0.8484848484848485,nan,nan,nan,nan,nan,nan,192.12229466438293,PASS
varconet_selected,internal_fold,1,9,88,0.7752983912817851,0.0037762905710775896,88,0.9943181818181819,0.9943181818181819,0.9945014662756598,0.36842259476807987,0.10003938533907294,0.26838320942900695,0.9901960784313726,0.9848484848484849,nan,nan,nan,nan,nan,32.0,192.12229466438293,PASS
varconet_epoch50,internal_fold,1,9,88,0.7773741567202906,0.0036496637425868506,88,0.9943181818181819,0.9943181818181819,0.9944903581267217,0.3665131526067853,0.09710479851594621,0.2694083540908391,0.9901960784313726,0.9848484848484849,nan,nan,nan,nan,nan,50.0,192.12229466438293,PASS
pearson_windowavg,caltech,1,external,37,0.6257309941520468,nan,37,0.9864864864864865,1.0,0.9898648648648649,0.5995065215471629,0.15736228786706058,0.4421442336801023,0.9864864864864865,1.0,0.9469387755102041,0.40963515663343886,0.860280486453484,nan,nan,nan,222.18963718414307,PASS
pearson_windowavg,abide2,1,external,727,0.5705773955773956,0.0029242301426514183,589,0.8582342954159592,0.9363327674023769,0.8936139781284542,0.48787537709207407,0.1813152166561801,0.30656016043589396,0.903061224489796,0.9203767123287672,0.9469387755102041,0.40963515663343886,0.860280486453484,0.5563977145569835,0.17217413787257133,nan,222.18963718414307,PASS
pearson_full,caltech,1,external,37,0.6257309941520468,nan,37,0.9864864864864865,1.0,0.9898648648648649,0.5995065215471629,0.15736228786706058,0.4421442336801023,0.9864864864864865,1.0,nan,nan,nan,nan,nan,nan,222.18963718414307,PASS
pearson_full,abide2,1,external,727,0.5705773955773956,0.0029242301426514183,589,0.8582342954159592,0.9363327674023769,0.8936139781284542,0.48787537709207407,0.1813152166561801,0.30656016043589396,0.903061224489796,0.9203767123287672,nan,nan,nan,nan,nan,nan,222.18963718414307,PASS
varconet_selected,caltech,1,external,37,0.7134502923976608,nan,37,1.0,1.0,1.0,0.49605220878446427,0.10060578065871208,0.3954464281257522,1.0,1.0,0.9175510204081633,0.7422549336641507,0.8164743708280959,nan,nan,38.0,222.18963718414307,PASS
varconet_selected,abide2,1,external,727,0.6871621621621622,0.0009665602580689325,589,0.9932088285229201,0.9991511035653651,0.9954806370765624,0.3940764194787662,0.10301842088232459,0.29105799859644166,0.9965986394557823,0.9974315068493151,0.9175510204081633,0.7422549336641507,0.8164743708280959,0.5254382057237802,0.5172236445017124,38.0,222.18963718414307,PASS
