repeat,epoch,is_selected,scope,fingerprint_top1,identity_gap,disease_axis_auc,disease_geometry_gap,split_half_disease_cosine,n_identity_subjects,n_disease_subjects,status
5,5,False,internal_train,nan,nan,nan,0.0035992089581827758,0.393676548153162,0,882,PASS
5,5,False,caltech,nan,nan,0.6637426900584796,nan,nan,0,37,PASS
5,5,False,abide2,0.9830220713073006,0.2725179013916569,0.666615479115479,nan,nan,589,727,PASS
5,10,False,internal_train,nan,nan,nan,0.003141377474929513,0.3540597850084305,0,882,PASS
5,10,False,caltech,nan,nan,0.6754385964912281,nan,nan,0,37,PASS
5,10,False,abide2,0.9940577249575552,0.28112727010204747,0.6760826167076168,nan,nan,589,727,PASS
5,20,False,internal_train,nan,nan,nan,0.0029277038983369086,0.33529927730560305,0,882,PASS
5,20,False,caltech,nan,nan,0.736842105263158,nan,nan,0,37,PASS
5,20,False,abide2,0.9940577249575552,0.28773266065420133,0.6850199631449632,nan,nan,589,727,PASS
5,30,False,internal_train,nan,nan,nan,0.0028286953739308784,0.32702279031276704,0,882,PASS
5,30,False,caltech,nan,nan,0.7456140350877193,nan,nan,0,37,PASS
5,30,False,abide2,0.9966044142614601,0.2893628261588457,0.6847742628992629,nan,nan,589,727,PASS
5,40,False,internal_train,nan,nan,nan,0.0027413458945590163,0.32236222192645075,0,882,PASS
5,40,False,caltech,nan,nan,0.7660818713450293,nan,nan,0,37,PASS
5,40,False,abide2,0.9966044142614601,0.29037137897620846,0.6870239557739557,nan,nan,589,727,PASS
5,50,False,internal_train,nan,nan,nan,0.002750490906640257,0.3236317686736584,0,882,PASS
5,50,False,caltech,nan,nan,0.7660818713450293,nan,nan,0,37,PASS
5,50,False,abide2,0.9966044142614601,0.2905382109515029,0.6878378378378379,nan,nan,589,727,PASS
5,27,True,internal_train,nan,nan,nan,0.002888625723523469,0.3316854883730411,0,882,PASS
5,27,True,caltech,nan,nan,0.7573099415204679,nan,nan,0,37,PASS
5,27,True,abide2,0.9932088285229201,0.28953825730471805,0.6864173832923832,nan,nan,589,727,PASS
6,0,False,internal_train,nan,nan,nan,0.0021264729396762716,0.3779230946302414,0,882,PASS
6,0,False,caltech,nan,nan,0.6257309941520468,nan,nan,0,37,PASS
6,0,False,abide2,0.8157894736842105,0.1828739302905331,0.6526412776412777,nan,nan,589,727,PASS
6,1,False,internal_train,nan,nan,nan,0.0025490786198638093,0.3799316081404686,0,882,PASS
6,1,False,caltech,nan,nan,0.6169590643274855,nan,nan,0,37,PASS
6,1,False,abide2,0.8913412563667232,0.20609652935870343,0.6530405405405406,nan,nan,589,727,PASS
6,5,False,internal_train,nan,nan,nan,0.0031820572654599477,0.37274674355983733,0,882,PASS
6,5,False,caltech,nan,nan,0.6228070175438597,nan,nan,0,37,PASS
6,5,False,abide2,0.9626485568760611,0.24574938026780044,0.65625,nan,nan,589,727,PASS
6,10,False,internal_train,nan,nan,nan,0.0029440775064289992,0.3538046962022781,0,882,PASS
6,10,False,caltech,nan,nan,0.6403508771929824,nan,nan,0,37,PASS
6,10,False,abide2,0.9906621392190154,0.263381529159066,0.6672066953316953,nan,nan,589,727,PASS
6,20,False,internal_train,nan,nan,nan,0.002968152316815076,0.34701507702469825,0,882,PASS
6,20,False,caltech,nan,nan,0.6842105263157895,nan,nan,0,37,PASS
6,20,False,abide2,0.9949066213921902,0.2836335995684947,0.6779176904176905,nan,nan,589,727,PASS
6,30,False,internal_train,nan,nan,nan,0.002867851990443704,0.3374930128455162,0,882,PASS
6,30,False,caltech,nan,nan,0.7105263157894737,nan,nan,0,37,PASS
