method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_residual_epoch,threshold_hc,dynamic_dim,window_tokens,min_valid_tokens,mean_valid_tokens,min_windows,mean_windows,max_windows,mean_node_switch,mean_node_deviation,n_test,status
baseline,internal_fold,3,0,0.8039513677811551,0.5227550787745525,0.7252747252747254,0.7201114488348531,44.0,75.0,nan,0.3966841399669647,nan,nan,nan,nan,nan,nan,nan,nan,nan,89,PASS
stable_dynamic_residual,internal_fold,3,0,0.8135764944275584,0.5126374220692381,0.6666666666666666,0.6907294832826747,44.0,75.0,139.0,0.3456892967224121,774.0,15.0,93.53866666666667,121.4373334757487,5.658666666666667,7.385333329518636,9.488,0.35783345890045165,0.24717012039820352,89,PASS
baseline,internal_fold,3,1,0.6671732522796352,0.637090173087002,0.6067415730337079,0.608662613981763,40.0,33.0,nan,0.47583502531051636,nan,nan,nan,nan,nan,nan,nan,nan,nan,89,PASS
stable_dynamic_residual,internal_fold,3,1,0.6681864235055724,0.6364346112837419,0.6136363636363638,0.6205673758865249,40.0,33.0,11.0,0.467630535364151,774.0,15.0,93.53866666666667,121.26266658528645,5.658666666666667,7.373333343505859,9.488,0.35225642935434975,0.24185081601142883,89,PASS
baseline,internal_fold,3,2,0.717391304347826,0.6181667258894022,0.6265060240963856,0.6516563146997929,50.0,46.0,nan,0.41293200850486755,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,3,2,0.6982401656314701,0.640186574974306,0.6097560975609756,0.6407867494824017,19.0,43.0,66.0,0.3989146649837494,774.0,15.0,93.53866666666667,121.40666658528646,5.658666666666667,7.386666676839193,9.488,0.3595275109608968,0.24739820567766826,88,PASS
baseline,internal_fold,3,3,0.6832298136645962,0.6656636917393827,0.5882352941176471,0.605072463768116,31.0,55.0,nan,0.4031887650489807,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,3,3,0.6785714285714286,0.6669250884798734,0.5679012345679013,0.6071428571428572,31.0,55.0,4.0,0.3729206323623657,774.0,15.0,93.53866666666667,122.05866658528646,5.658666666666667,7.432000003814697,9.488,0.3707550189495087,0.2574865756034851,88,PASS
baseline,internal_fold,3,4,0.8286749482401656,0.5402427667423155,0.7356321839080461,0.7406832298136645,30.0,40.0,nan,0.447625994682312,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,3,4,0.8245341614906833,0.5452154625802049,0.7692307692307693,0.7613871635610766,30.0,40.0,36.0,0.4732823967933655,774.0,15.0,93.53866666666667,121.9266669921875,5.658666666666667,7.418666676839193,9.488,0.36045340474446613,0.24897904483477273,88,PASS
baseline,internal_fold,3,5,0.783601453035807,0.5680175005094384,0.7,0.7368967306694343,30.0,45.0,nan,0.3871982991695404,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,3,5,0.783601453035807,0.5680175005094384,0.7,0.7368967306694343,30.0,45.0,0.0,0.3871982991695404,774.0,15.0,93.53866666666667,121.6080000406901,5.658666666666667,7.400000011444091,9.488,0.3497537000974019,0.23967696630954743,88,PASS
baseline,internal_fold,3,6,0.7602490918526207,0.5886245772585731,0.6521739130434782,0.63622210690192,28.0,23.0,nan,0.47241926193237305,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,3,6,0.7602490918526207,0.5886245772585731,0.6521739130434782,0.63622210690192,28.0,23.0,0.0,0.47241926193237305,774.0,15.0,93.53866666666667,121.74266689046225,5.658666666666667,7.408000019073486,9.488,0.35132914916674296,0.24116958085695903,88,PASS
baseline,internal_fold,3,7,0.7441619097042035,0.5831132499234605,0.6966292134831461,0.6956408925791385,25.0,47.0,nan,0.4568895101547241,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,3,7,0.7441619097042034,0.5846154725380637,0.6823529411764706,0.6987545407368967,25.0,47.0,22.0,0.41772300004959106,774.0,15.0,93.53866666666667,121.44666680908203,5.658666666666667,7.388000020345052,9.488,0.35726038297017415,0.24592611054579416,88,PASS
baseline,internal_fold,3,8,0.7747794499221589,0.5884787759314863,0.7142857142857144,0.6772184743124027,34.0,26.0,nan,0.45214223861694336,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,3,8,0.7509081473793461,0.6101263326638023,0.7289719626168223,0.6587960560456668,2.0,13.0,58.0,0.5348556041717529,774.0,15.0,93.53866666666667,121.65066697184245,5.658666666666667,7.396000003814697,9.488,0.37393756095568337,0.2594614760875702,88,PASS
baseline,internal_fold,3,9,0.6424494032174364,0.6717034389206245,0.6326530612244897,0.5858847950181629,11.0,32.0,nan,0.4951927959918976,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
