method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_residual_epoch,threshold_hc,dynamic_dim,window_tokens,min_valid_tokens,mean_valid_tokens,min_windows,mean_windows,max_windows,mean_edge_switch,std_edge_switch,dynamic_head_l2,task_seconds,n_test,status
baseline,internal_fold,2,9,0.6491956408925791,0.6525460735324567,0.6153846153846154,0.6027503892060198,30.0,19.0,nan,0.48535796999931335,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,330.4203083515167,88,PASS
pretransformer_edge_residual,internal_fold,2,9,0.6284379865075246,0.6701915329119962,0.4722222222222222,0.5832900882200311,30.0,19.0,3.0,0.36759963631629944,73536.0,15.0,93.53866666666667,121.58400008138021,5.658666666666667,7.39733335240682,9.488,0.31106237427393596,0.12456162017583847,0.030603431165218353,330.4203062057495,88,PASS
baseline,internal_oof,2,all,0.7263899280204329,0.609482048722865,0.6492622020431328,0.6519929826371869,28.2,26.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,882,PASS
pretransformer_edge_residual,internal_oof,2,all,0.720549005443616,0.6141975622262151,0.656353591160221,0.648107633961972,28.2,26.9,1.9,nan,73536.0,15.0,93.53866666666667,121.57173349812827,5.658666666666667,7.395466672261556,9.488,0.24743501160045467,0.09929356160064538,nan,nan,882,PASS
baseline,caltech,2,external,0.6900584795321637,0.6203591801274262,0.6842105263157895,0.6754385964912281,24.0,41.0,nan,0.47960779070854187,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,281.14754152297974,37,PASS
baseline,abide2,2,external,0.7300763288224104,0.6067266861354678,0.6894803548795944,0.6617385410488859,24.0,41.0,nan,0.47960779070854187,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,281.14754152297974,726,PASS
pretransformer_edge_residual,caltech,2,external,0.652046783625731,0.6409623561807181,0.39999999999999997,0.5190058479532164,24.0,41.0,2.0,0.39394569396972656,73536.0,15.0,94.28653624856156,122.57537420380376,5.7054085155350975,7.461449950693392,9.558112773302646,0.2870560861841033,0.11924536205545257,0.019832832738757133,281.1475405693054,37,PASS
pretransformer_edge_residual,abide2,2,external,0.7237451187294448,0.6099805326135439,0.5925925925925926,0.6391171735999323,24.0,41.0,2.0,0.39394569396972656,73536.0,15.0,94.28653624856156,122.57537420380376,5.7054085155350975,7.461449950693392,9.558112773302646,0.2870560861841033,0.11924536205545257,0.019832832738757133,281.1475405693054,726,PASS
baseline,internal_fold,3,0,0.8034447821681865,0.52293549093081,0.7252747252747254,0.7201114488348531,44.0,75.0,nan,0.3986882269382477,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,492.96491956710815,89,PASS
pretransformer_edge_residual,internal_fold,3,0,0.790273556231003,0.5494360760937459,0.72,0.6805977710233029,44.0,75.0,13.0,0.4642729163169861,73536.0,15.0,93.53866666666667,121.4373334757487,5.658666666666667,7.385333329518636,9.488,0.343704275449117,0.1282828000187874,0.1339200884103775,492.9649176597595,89,PASS
baseline,internal_fold,3,1,0.668693009118541,0.6369721975127319,0.6136363636363638,0.6205673758865249,40.0,33.0,nan,0.474704772233963,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,273.1837069988251,89,PASS
pretransformer_edge_residual,internal_fold,3,1,0.668693009118541,0.6369722015032682,0.6136363636363638,0.6205673758865249,40.0,33.0,0.0,0.474704772233963,73536.0,15.0,93.53866666666667,121.26266658528645,5.658666666666667,7.373333343505859,9.488,0.21844252161184946,0.09552095315853755,0.0,273.183705329895,89,PASS
baseline,internal_fold,3,2,0.7153209109730848,0.619056457503397,0.6428571428571428,0.6625258799171843,50.0,46.0,nan,0.4110740125179291,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,367.29838371276855,88,PASS
pretransformer_edge_residual,internal_fold,3,2,0.7153209109730848,0.619056459045156,0.6428571428571428,0.6625258799171843,50.0,46.0,0.0,0.4110740125179291,73536.0,15.0,93.53866666666667,121.40666658528646,5.658666666666667,7.386666676839193,9.488,0.31414493632316587,0.12609917205572127,0.0,367.2983822822571,88,PASS
baseline,internal_fold,3,3,0.6847826086956521,0.6638418273859495,0.5882352941176471,0.605072463768116,31.0,55.0,nan,0.3970513641834259,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,408.1458911895752,88,PASS
pretransformer_edge_residual,internal_fold,3,3,0.6889233954451346,0.662248065195766,0.6190476190476191,0.639751552795031,31.0,55.0,4.0,0.39635345339775085,73536.0,15.0,93.53866666666667,122.05866658528646,5.658666666666667,7.432000003814697,9.488,0.34349900333086647,0.13397801315784455,0.038862764835357666,408.14589071273804,88,PASS
baseline,internal_fold,3,4,0.8307453416149068,0.539526003735617,0.7526881720430109,0.7375776397515528,30.0,40.0,nan,0.46963778138160706,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,309.68354964256287,88,PASS
pretransformer_edge_residual,internal_fold,3,4,0.8307453416149068,0.5395260036193278,0.7526881720430109,0.7375776397515528,30.0,40.0,0.0,0.46963778138160706,73536.0,15.0,93.53866666666667,121.9266669921875,5.658666666666667,7.418666676839193,9.488,0.3457775309085846,0.1288212885260582,0.0,309.6835472583771,88,PASS
baseline,internal_fold,3,5,0.783601453035807,0.5677453608691553,0.6835443037974684,0.726258432797094,30.0,45.0,nan,0.38372448086738586,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,287.313307762146,88,PASS
pretransformer_edge_residual,internal_fold,3,5,0.779449922158796,0.568217092150558,0.6744186046511628,0.6865594187856772,30.0,45.0,1.0,0.40584132075309753,73536.0,15.0,93.53866666666667,121.6080000406901,5.658666666666667,7.400000011444091,9.488,0.0941321162978808,0.04576293640335401,0.013558524660766125,287.31330728530884,88,PASS
baseline,internal_fold,3,6,0.7592112091333679,0.5881567639554052,0.6666666666666667,0.6468604047742605,28.0,23.0,nan,0.4722614884376526,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,341.6954309940338,88,PASS
pretransformer_edge_residual,internal_fold,3,6,0.7566165023352361,0.5911210969736571,0.6875000000000001,0.6559418785677218,28.0,23.0,1.0,0.4834692180156708,73536.0,15.0,93.53866666666667,121.74266689046225,5.658666666666667,7.408000019073486,9.488,0.33415499289830525,0.12528356007734934,0.013558611273765564,341.69542813301086,88,PASS
baseline,internal_fold,3,7,0.7436429683445771,0.5832931568017575,0.6966292134831461,0.6956408925791385,25.0,47.0,nan,0.45424941182136536,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,319.953574180603,88,PASS
pretransformer_edge_residual,internal_fold,3,7,0.749351323300467,0.5886345720657992,0.6666666666666666,0.6606123508043591,25.0,47.0,9.0,0.44703206419944763,73536.0,15.0,93.53866666666667,121.44666680908203,5.658666666666667,7.388000020345052,9.488,0.3404252355893453,0.1288133583664894,0.08275176584720612,319.953572511673,88,PASS
baseline,internal_fold,3,8,0.7763362740010379,0.5883229264051902,0.7142857142857144,0.6772184743124027,34.0,26.0,nan,0.45056068897247314,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,368.44510650634766,88,PASS
pretransformer_edge_residual,internal_fold,3,8,0.7649195640892579,0.5922724815623337,0.7592592592592592,0.6922677737415672,34.0,26.0,13.0,0.5065404772758484,73536.0,15.0,93.53866666666667,121.65066697184245,5.658666666666667,7.396000003814697,9.488,0.27996635389328,0.11705483082930247,0.11464831978082657,368.4451057910919,88,PASS
baseline,internal_fold,3,9,0.6424494032174364,0.6720838300584173,0.6666666666666665,0.5918526206538661,11.0,32.0,nan,0.5369156002998352,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,259.3421947956085,88,PASS
pretransformer_edge_residual,internal_fold,3,9,0.6424494032174364,0.6720838328427736,0.6666666666666665,0.5918526206538661,11.0,32.0,0.0,0.5369156002998352,73536.0,15.0,93.53866666666667,121.04800020345053,5.658666666666667,7.360000012715657,9.488,0.3548632808526357,0.13630986972649892,0.0,259.34219312667847,88,PASS
baseline,internal_oof,3,all,0.7395939217254457,0.5981520419754937,0.6762430939226519,0.6685869817600165,32.3,42.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,882,PASS
pretransformer_edge_residual,internal_oof,3,all,0.7358840071205593,0.6019369408278991,0.683083511777302,0.6632285028766027,32.3,42.2,4.1,nan,73536.0,15.0,93.53866666666667,121.5588001139323,5.658666666666667,7.394800009791055,9.488,0.29691102471550307,0.1165926782319943,nan,nan,882,PASS
baseline,caltech,3,external,0.6228070175438596,0.6756386373420469,0.5714285714285715,0.5102339181286549,8.0,62.0,nan,0.5585917234420776,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,825.7795057296753,37,PASS
baseline,abide2,3,external,0.7404665994007686,0.597386014452459,0.7426636568848758,0.6690671863085655,8.0,62.0,nan,0.5585917234420776,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,825.7795057296753,726,PASS
pretransformer_edge_residual,caltech,3,external,0.6432748538011697,0.6620597980074115,0.6153846153846154,0.5935672514619883,8.0,62.0,1.0,0.5045463442802429,73536.0,15.0,94.28653624856156,122.46375155256862,5.7054085155350975,7.451093227597183,9.558112773302646,0.2915218497859046,0.11658889389627959,0.013558469712734222,825.7795050144196,37,PASS
pretransformer_edge_residual,abide2,3,external,0.7408054962913897,0.5990610283811184,0.7322274881516587,0.6789799203592307,8.0,62.0,1.0,0.5045463442802429,73536.0,15.0,94.28653624856156,122.46375155256862,5.7054085155350975,7.451093227597183,9.558112773302646,0.2915218497859046,0.11658889389627959,0.013558469712734222,825.7795050144196,726,PASS
baseline,internal_fold,4,0,0.6904761904761905,0.6415183119126976,0.5853658536585366,0.6243667679837892,41.0,48.0,nan,0.35288161039352417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,368.9788956642151,89,PASS
pretransformer_edge_residual,internal_fold,4,0,0.6904761904761905,0.6415183147161155,0.5853658536585366,0.6243667679837892,41.0,48.0,0.0,0.35288161039352417,73536.0,15.0,93.53866666666667,121.69333341471354,5.658666666666667,7.405333351135254,9.488,0.34218941140174863,0.12745599073171615,0.0,368.97889471054077,89,PASS
baseline,internal_fold,4,1,0.7102330293819656,0.6190517264972936,0.575,0.6256332320162107,37.0,48.0,nan,0.3420577943325043,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,340.0679819583893,89,PASS
pretransformer_edge_residual,internal_fold,4,1,0.7284701114488348,0.6047927030887229,0.6506024096385542,0.6800911854103344,37.0,48.0,1.0,0.3540887236595154,73536.0,15.0,93.53866666666667,121.70133325195313,5.658666666666667,7.405333337148031,9.488,0.3078416709105174,0.1204145502448082,0.01355848927050829,340.06798100471497,89,PASS
baseline,internal_fold,4,2,0.7261904761904762,0.6009331866180022,0.6956521739130435,0.681159420289855,46.0,48.0,nan,0.45235177874565125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,420.4197266101837,88,PASS
pretransformer_edge_residual,internal_fold,4,2,0.7437888198757764,0.5963782983498257,0.75,0.6977225672877847,46.0,48.0,8.0,0.5143393874168396,73536.0,15.0,93.53866666666667,121.51200034586589,5.658666666666667,7.390666685740153,9.488,0.35192748220761616,0.13266907020409902,0.0835089236497879,420.419725894928,88,PASS
baseline,internal_fold,4,3,0.7360248447204969,0.6169584440559966,0.7272727272727273,0.6889233954451346,45.0,28.0,nan,0.47850075364112854,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,389.60212564468384,88,PASS
pretransformer_edge_residual,internal_fold,4,3,0.7318840579710145,0.6257337141290513,0.6823529411764706,0.6961697722567288,45.0,28.0,4.0,0.37937965989112854,73536.0,15.0,93.53866666666667,121.54266687011719,5.658666666666667,7.396000019073487,9.488,0.29582367777824403,0.12829161699612934,0.03159134462475777,389.6021246910095,88,PASS
baseline,internal_fold,4,4,0.7494824016563146,0.6061835528699472,0.43750000000000006,0.6045548654244306,43.0,29.0,nan,0.30627304315567017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,313.7386825084686,88,PASS
pretransformer_edge_residual,internal_fold,4,4,0.7562111801242235,0.60668633969198,0.43750000000000006,0.6045548654244306,43.0,29.0,2.0,0.29773181676864624,73536.0,15.0,93.53866666666667,121.47066701253256,5.658666666666667,7.388000011444092,9.488,0.35191504494349163,0.1310794725815455,0.02430427446961403,313.7386817932129,88,PASS
baseline,internal_fold,4,5,0.6585365853658537,0.6541807237781321,0.6,0.5921120913336793,44.0,38.0,nan,0.4609038829803467,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,276.21327018737793,88,PASS
pretransformer_edge_residual,internal_fold,4,5,0.6585365853658537,0.6541807270580761,0.6,0.5921120913336793,44.0,38.0,0.0,0.4609038829803467,73536.0,15.0,93.53866666666667,121.36533339436849,5.658666666666667,7.3773333460489905,9.488,0.33404256018002826,0.13038506209850312,0.0,276.2132692337036,88,PASS
baseline,internal_fold,4,6,0.7659574468085106,0.5764615621208162,0.7070707070707072,0.6650233523611832,47.0,23.0,nan,0.483457088470459,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,310.2874450683594,88,PASS
pretransformer_edge_residual,internal_fold,4,6,0.7638816813700051,0.5767941887787333,0.7,0.6528282304099637,47.0,23.0,1.0,0.4904310703277588,73536.0,15.0,93.53866666666667,121.7800000406901,5.658666666666667,7.4093333447774254,9.488,0.3264893658161163,0.12750838150580723,0.013558649457991123,310.2874438762665,88,PASS
baseline,internal_fold,4,7,0.7389724961079398,0.6042036619193293,0.6666666666666666,0.6331084587441619,50.0,16.0,nan,0.5013731718063354,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,289.323495388031,88,PASS
pretransformer_edge_residual,internal_fold,4,7,0.6922677737415671,0.6302771882885533,0.6419753086419752,0.679034769071095,50.0,16.0,10.0,0.4013545513153076,73536.0,15.0,93.53866666666667,121.8640000406901,5.658666666666667,7.414666678110758,9.488,0.3473134175936381,0.1292720338900884,0.09965229034423828,289.32349467277527,88,PASS
baseline,internal_fold,4,8,0.724961079398028,0.6171206634800124,0.7272727272727273,0.6450441100155683,16.0,15.0,nan,0.5321105122566223,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,271.5492796897888,88,PASS
pretransformer_edge_residual,internal_fold,4,8,0.724961079398028,0.6171206585012192,0.7272727272727273,0.6450441100155683,16.0,15.0,0.0,0.5321105122566223,73536.0,15.0,93.53866666666667,121.21866662597657,5.658666666666667,7.371999997456869,9.488,0.3001160264809926,0.12239869831005733,0.0,271.5492784976959,88,PASS
baseline,internal_fold,4,9,0.7166580176440063,0.6059570082075745,0.6909090909090909,0.5993772703684483,33.0,46.0,nan,0.5610135793685913,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,264.3561677932739,88,PASS
pretransformer_edge_residual,internal_fold,4,9,0.7166580176440063,0.6059570074866758,0.6909090909090909,0.5993772703684483,33.0,46.0,0.0,0.5610135793685913,73536.0,15.0,93.53866666666667,121.39333339436848,5.658666666666667,7.381333344777425,9.488,0.28736010718345645,0.12145073821147283,0.0,264.3561656475067,88,PASS
baseline,internal_oof,4,all,0.7217564046335234,0.6142932291234382,0.6529284164859003,0.6367276386058152,40.2,33.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,882,PASS
pretransformer_edge_residual,internal_oof,4,all,0.7214829338768349,0.6159602668317833,0.6578657865786579,0.6478393230308815,40.2,33.9,2.6,nan,73536.0,15.0,93.53866666666667,121.5541334391276,5.658666666666667,7.394000011571249,9.488,0.32450187644958495,0.1270925614774227,nan,nan,882,PASS
baseline,caltech,4,external,0.6783625730994153,0.640326893916363,0.5517241379310345,0.6549707602339181,17.0,34.0,nan,0.3309032917022705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,323.5357131958008,37,PASS
