method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,threshold_hc,mean_identity_loss,mean_prototype_loss,prototype_active,mean_min_prototype_occupancy,mean_max_prototype_occupancy,n_test,status
treatment,internal_fold,4,9,0.7031655422937207,0.6089194088425383,0.7339449541284404,0.6572392319667878,14.0,0.585235595703125,0.0923352518118918,0.9451745217045148,6.0,8.2475,12.716666666666667,88,PASS
baseline,caltech,4,external,0.6374269005847953,0.6717099152513123,0.631578947368421,0.6213450292397661,29.0,0.4347444772720337,0.0495480266299897,nan,0.0,nan,nan,37,PASS
baseline,abide2,4,external,0.7547143734643735,0.5887414576929241,0.7027027027027026,0.7053478194103193,29.0,0.4347444772720337,0.0495480266299897,nan,0.0,nan,nan,727,PASS
treatment,caltech,4,external,0.6842105263157895,0.6393284736265642,0.6956521739130435,0.6154970760233918,15.0,0.596832811832428,0.07817557377474649,0.9758893034287861,6.0,8.343571428571428,12.333571428571428,37,PASS
treatment,abide2,4,external,0.7441415847665849,0.596677069112936,0.746987951807229,0.6611064189189189,15.0,0.596832811832428,0.07817557377474649,0.9758893034287861,6.0,8.343571428571428,12.333571428571428,727,PASS
baseline,internal_oof,4,all,0.7318851422821908,0.6080578445636086,0.660734149054505,0.6553365496246226,28.0,nan,0.05626270937966184,nan,0.0,nan,nan,882,PASS
treatment,internal_oof,4,all,0.7146358453084285,0.616919920816756,0.6730564430244941,0.6503779572250459,16.5,nan,0.08706548784471428,0.9538655999799568,6.0,8.306583333333332,12.487166666666667,882,PASS
baseline,internal_fold,5,0,0.7735562310030395,0.5695455940664834,0.7567567567567568,0.6849037487335359,47.0,0.6203300356864929,0.049024464078247544,nan,0.0,nan,nan,89,PASS
treatment,internal_fold,5,0,0.684903748733536,0.6336636850500138,0.64,0.5904255319148937,18.0,0.5205127000808716,0.07860055849266549,0.9217499814430873,6.0,8.488333333333333,12.375833333333333,89,PASS
baseline,internal_fold,5,1,0.7441742654508612,0.609301077332033,0.7551020408163265,0.7269503546099291,24.0,0.47975704073905945,0.059848557513517635,nan,0.0,nan,nan,89,PASS
treatment,internal_fold,5,1,0.7401215805471125,0.6050809623524213,0.7272727272727273,0.6925025329280649,10.0,0.49219757318496704,0.08207086228144665,0.9864575149615605,6.0,8.241666666666667,12.553333333333333,89,PASS
